Id,Municipality,Place,Latitude,Longitude
1,Båstad,Axelstorp,56.4055555555556,12.8458333333333
2,Båstad,Boarp,56.4333333333333,12.7916666666667
3,Båstad,Båstad,56.4291666666667,12.8786111111111
4,Båstad,Eskilstorpsstrand,56.4375,12.8819444444444
5,Båstad,Fogdarp,56.3491666666667,12.8516666666667
6,Båstad,Förslöv,56.3544444444444,12.8158333333333
7,Båstad,Glimminge plantering,56.3780555555556,12.6963888888889
8,Båstad,Grevie,56.39,12.7755555555556
9,Båstad,Grevie kyrkby,56.3705555555556,12.7927777777778
10,Båstad,Hallavara,56.4536111111111,12.7191666666667
11,Båstad,Hov,56.4352777777778,12.7330555555556
12,Båstad,Kattvik,56.4569444444444,12.7686111111111
13,Båstad,Killebäckstorp,56.3836111111111,12.7452777777778
14,Båstad,Lervik,56.3311111111111,12.7391666666667
15,Båstad,Malen,56.4297222222222,12.8547222222222
16,Båstad,Petersberg,56.4252777777778,12.8933333333333
17,Båstad,Rammsjö,56.3958333333333,12.6686111111111
18,Båstad,Rammsjöstrand,56.3872222222222,12.6627777777778
19,Båstad,Ranarp,56.34,12.7647222222222
20,Båstad,Ranarpsstrand,56.3508333333333,12.7441666666667
21,Båstad,Riviera,56.4327777777778,12.8727777777778
22,Båstad,Slättaröd,56.4083333333333,12.6638888888889
23,Båstad,Stora Hult,56.3233333333333,12.7766666666667
24,Båstad,Storahults strand,56.3291666666667,12.7597222222222
25,Båstad,Torekov,56.4197222222222,12.6338888888889
26,Båstad,Vejbystrand,56.3166666666667,12.7666666666667
27,Båstad,Västra Karup,56.4111111111111,12.7394444444444
28,Båstad,Ängelholm,56.24,12.86
29,Båstad,Ängelsbäck,56.3763888888889,12.7708333333333
30,Båstad,Ängelsbäcksstrand och Segeltorpsstrand,56.3627777777778,12.7383333333333
31,Båstad,Åstad,56.4308333333333,12.9055555555556
32,Båstad,Öllöv,56.3827777777778,12.7322222222222
33,Båstad,Östra Karup,56.4261111111111,12.9358333333333
34,Bjuv,Billesholm,56.05,13
35,Bjuv,Bjuv,56.0733333333333,12.9416666666667
36,Bjuv,Ekeby,55.9997222222222,12.9630555555556
37,Bjuv,Gunnarstorp,56.1,12.9166666666667
38,Bjuv,Ljungsgård,56.0661111111111,12.9636111111111
39,Bjuv,Norra Vram,56.0875,12.9730555555556
40,Bjuv,Olstorp,56.073,12.95
41,Bjuv,Södra Vram,56.0638888888889,12.9805555555556
42,Bromölla,Blistorp,56.2122222222222,14.4497222222222
43,Bromölla,Bromölla,56.0755555555556,14.4741666666667
44,Bromölla,Drögsperyd,56.1791666666667,14.5491666666667
45,Bromölla,Edenryd,56.0441666666667,14.5175
46,Bromölla,Grödby,56.0833333333333,14.5202777777778
47,Bromölla,Gualöv,56.0463888888889,14.4213888888889
48,Bromölla,Håkanryd,56.0933333333333,14.5344444444444
49,Bromölla,Nogesund,56.0952777777778,14.4941666666667
50,Bromölla,Norreskog,56.1063888888889,14.4697222222222
51,Bromölla,Nymölla,56.0411111111111,14.4808333333333
52,Bromölla,Näsum,56.1738888888889,14.5052777777778
53,Bromölla,Råby,56.1047222222222,14.5108333333333
54,Bromölla,Sonarp,56.2116666666667,14.5075
55,Bromölla,Valje,56.0627777777778,14.5386111111111
56,Bromölla,Västanå,56.1666666666667,14.4833333333333
57,Bromölla,Östad,56.2072222222222,14.5213888888889
58,Burlöv,Arlöv,55.6333333333333,13.0333333333333
59,Burlöv,Arlövgården,55.6230555555556,13.0733333333333
60,Burlöv,Burlövs egnahem,55.6352777777778,13.1005555555556
61,Burlöv,Malmö,55.5930555555556,13.0213888888889
62,Burlöv,Nordanå,55.6236111111111,13.1244444444444
63,Burlöv,Sege,55.6186111111111,13.0861111111111
64,Burlöv,Sunnanå,55.6125,13.1247222222222
65,Burlöv,Åkarp,55.6538888888889,13.1108333333333
66,Eslöv,Billinge,55.9616666666667,13.3336111111111
67,Eslöv,Borlunda,55.8013888888889,13.3244444444444
68,Eslöv,Bosarp,55.8858333333333,13.3186111111111
69,Eslöv,Eslöv,55.8386111111111,13.3
70,Eslöv,Flyinge,55.7522222222222,13.3658333333333
71,Eslöv,Getinge,55.7625,13.3125
72,Eslöv,Gullarp,55.8602777777778,13.2586111111111
73,Eslöv,Gårdstånga,55.7625,13.3138888888889
74,Eslöv,Hammarlunda,55.7380555555556,13.4366666666667
75,Eslöv,Harlösa,55.7169444444444,13.5261111111111
76,Eslöv,Holmby,55.7469444444444,13.4002777777778
77,Eslöv,Hurva,55.7961111111111,13.4402777777778
78,Eslöv,Högseröd,55.7938888888889,13.5613888888889
79,Eslöv,Kastberga,55.855,13.3641666666667
80,Eslöv,Kungabacken,55.7833333333333,13.55
81,Eslöv,Kungshult,55.8527777777778,13.4125
82,Eslöv,Kärrstorp,55.8977777777778,13.3733333333333
83,Eslöv,Löberöd,55.7763888888889,13.5183333333333
84,Eslöv,Marieholm,55.8630555555556,13.1633333333333
85,Eslöv,Remmarlöv,55.8388888888889,13.2388888888889
86,Eslöv,Reslöv,55.8587777777778,13.1782222222222
87,Eslöv,Sjöholmen,55.9111111111111,13.4375
88,Eslöv,Skarhult,55.8166666666667,13.3833333333333
89,Eslöv,Stabbarp,55.865,13.3038888888889
90,Eslöv,Stehag,55.9016666666667,13.3952777777778
91,Eslöv,Stehags kyrkby,55.8966666666667,13.4155555555556
92,Eslöv,Stockamöllan,55.945,13.3677777777778
93,Eslöv,Strö,55.8302777777778,13.415
94,Eslöv,Trollenäs,55.8658333333333,13.2444444444444
95,Eslöv,Utteröd,55.7591666666667,13.4791666666667
96,Eslöv,Väggarp,55.7863888888889,13.2419444444444
97,Eslöv,Västra Strö,55.8763888888889,13.2475
98,Eslöv,Örtofta,55.7811111111111,13.2569444444444
99,Eslöv,Östra Asmundtorp,55.8561111111111,13.2752777777778
100,Eslöv,Östra Karaby,55.8763888888889,13.1883333333333
101,Eslöv,Östra Strö,55.8127388888889,13.4133333333333
102,Hässleholm,Algustorp,56.2180555555556,13.8786111111111
103,Hässleholm,Attarp,56.1458333333333,13.8416666666667
104,Hässleholm,Backagården,56.1636111111111,13.67
105,Hässleholm,Ballingslöv,56.2141666666667,13.8461111111111
106,Hässleholm,Bjärnum,56.2941666666667,13.7111111111111
107,Hässleholm,Björkedal,56.1572222222222,13.6772222222222
108,Hässleholm,Brönnestad,56.0819444444444,13.7038888888889
109,Hässleholm,Emmaljunga,56.3961111111111,13.6511111111111
110,Hässleholm,Farstorp,56.2780555555556,13.795
111,Hässleholm,Finja,56.1694444444444,13.6916666666667
